iso_code,vaccine_name
UZB,ZF2001
VUT,Oxford/AstraZeneca
VEN,Abdala
VEN,Sinopharm/Beijing
VEN,Sinovac
VEN,Soberana02
VEN,Sputnik Light
VEN,Sputnik V
VNM,Abdala
VNM,Moderna
VNM,Oxford/AstraZeneca
VNM,Pfizer/BioNTech
VNM,Sinopharm/Beijing
VNM,Sputnik V
OWID_WLS,Moderna
OWID_WLS,Oxford/AstraZeneca
OWID_WLS,Pfizer/BioNTech
WLF,Moderna
YEM,CanSino
YEM,Covaxin
YEM,Johnson&Johnson
YEM,Moderna
YEM,Oxford/AstraZeneca
YEM,Pfizer/BioNTech
YEM,Sinopharm/Beijing
YEM,Sinovac
YEM,Sputnik Light
YEM,Sputnik V
ZMB,Johnson&Johnson
ZMB,Oxford/AstraZeneca
ZMB,Sinopharm/Beijing
ZWE,Oxford/AstraZeneca
ZWE,Sinopharm/Beijing
ZWE,Sinovac
ZWE,Sputnik V
